,article_number,content,dates
94,94,homeland illumination voices blog important people maha salo 20 january 2014 1744 media reports coming number gastech employees kidnapped identity passengers mystery jet departed earlier today abila airport remains unknown 20 jan 2014,2014-01-20
95,95,news online today elian karel dead kronos jail 20090620 abila kronos elian karel age 28 died friday unlawfully incarcerated abila city prison expecting released next days return work protectors kronos excited continue protectors kronos mission dedicated life calls presidents office office minister justice office chief police immediately returned,2009-06-20
96,96,truth pok geλtiketteerdi public threat 20110728 abila kronos declaration press today government spokesman rufus drymiau aforesaid pok justified public threat violent demonstrations attribute opportunistic vandalism conflicts police force violence vandalism trade mark collecting pok recently become thousands dollars damage bldg ventures caused showing little care benarde situation people president kapelou let injury uncontested aforesaid drymiau continue,2011-07-28
97,97,general post technique perforates prohibited tethys 19950401 center tethys international hyperactive acid retirement substratum gastech hasr prohibited officially government tethys due high probability contamination water gastech developed technique perforated innovator 1974 absolutely proved guessed right extraction gas consequences environment technique judged unacceptable government tethys due high probability contamination table water remainders produced hasr process sten sanjorge jr responded refrαn interdiction loss tethys increase another county,1995-04-01
98,98,news online today araullo announces new hospital construction 19951122 abila kronos president araullo announced today government planning construction new modern abila general hospital old abila general hospital built 1930 outdated health care facilities suffered numerous electrical fires past decade new hospital first many projects plan pursue help upgrade standard living modernize lifestyle,1995-11-22
99,99,modern rubicon scene blog 20 january 2014 modernization 1545 dark figures center seems event robbing victims direction lacking gastech currently speculate people number involved confusion evacuamento construction conteggio exact employs gastech nearly impossible,2014-01-20
100,100,continent four people died enthusiastic discharge near elodis 20070319 nine years old boy initially survived discharge flown hospital children abila explained arrival police force says 25 one person whose birthday truck driver preservation prison elodis civil servants say car comes flames collision truck gastech road calistermi burst flat 9am kdt kronos team victim calamity identification sent examine shipwreck aid police force commissioner adian koppolis described scene horrific said nine years old boy found walking around ongevallenplaats tragic nobody eventually survived ways treacherous constant watchfully whereas floating said saw truck junction proceeded car right manner,2007-03-19
101,101,daily pegasus demonstration attracts thousands spite rain 20121111 abila kronos heavy rain stop thousands citizens assure voices heard last wednesday open microphone installed common fields city loudspeakers installed around area pok leader silvia marek opened assembly short speech indicated demands citizens kronos nonnegotiable civil employees government must immediately unconditional institute program responsibility government proveνdo personnel people chosen internationalsupervised vote citizens kronos responsible negligence money contributor one invited one voices heard shortage impatient people opinion histories extended qualified workers passed works given last instance member family official government woman greater asked financial aid died husband associated disease contaminated water said outside right death cost make business said rasgones,2012-11-11
102,102,light truth jr sanjorge taking gastech international public 20130904 centrum tethys 52 years private possession sten sanjorge jr takes gastech company exploration production international public natural gas eye towards becoming even one player world gas industry sanjorge jr public going produce working capital exploitation international expansion exploration company founded 1961 sten sanjorge sr said monday projects issue shares could place value vicinity 375 billion ipo envisaged end year,2013-09-04
103,103,news online today government announces tax incentives foreign investment 19930119 abila kronos today parliament voted 86 14 favor president araullos package tax incentives designed lure foreign investment fair country,1993-01-19
104,104,news desk threats spent pok 20120310 abila kronos letters claimed received guards kronos pok vincent kapelou minister health cousin president kapelou threatening letters seems empty threats attentionaandachtzoekende organization nothing said kapelou chances nothing take chances nevertheless size personal security strength doubled reply letters types threats reinforce fact pok public threat president cite kapelou,2012-03-10
105,105,news gastechs expansion reaches shores kronos 19940924 abila kronos groundbreaking today tiskele bend site marks another flag planted foreign soil gastech international jobs cheaper cleaner fuel provided gastech begin live lives deserve heels gastechs expansion asteria tiskele bend site potential dwarf gastechs gas fields conservative estimates preliminary test well results place tiskele bend field least par largest gastechs tethan fields,1994-09-24
106,106,modern rubicon scene blog 21 january 2014 1245 modernization redeem demands pok protections kronos freed supporting responsibility declaration kidnapping employs gastech demand redeem 20 million,2014-01-21
107,107,general post kidnapping gastech kronos 20140120 avila kronos long day conflict confused information information continue incompletos history beginning come clearly source government kronos confirmed fourteen gastech international employees could kidnapped headquarters company avila continues much speculation respect taken kidnapping speculation includes international president gastech jr ceo sten sanjorge target since international gastech still must make declaration speculation pressure motivation behind kidnapping also wild due recent gastech ipo time nobody demanded responsibility kidnapping edvard vann gastech suspected protector security kronos interrogated sent 6 hours indicated protectors kronos like authors behind today events international executive greater security gastech site support investigation helping department police avila officials government kronos 20 january annual corporative meeting gastech certain point whereas company officials transitioning main office reception government kronos abductions happened information without confirming fire office could served like distraction kidnapping least contributed confusion event cars body firemen avila sent headquarters gastech kronos around 1000 local time kronos morning respond fire alarm,2014-01-20
108,108,news online today pok demonstrations increase 12 november 2012 abila kronos – increase frequency demonstrations protectors kronos given rise concerns government kronos three recent demonstrations many weeks drawn crowds thousands front capitol building,2012-11-12
109,109,orb documentary card public health elodis 2002 20020526 elodis kronos center health community elodis published update health study carried 1998 effects acid displacement hyper substrate hasr technique drilling discussed continue devastate health residents elodis detailed reportratio announced soon municipal web site elodis climaxes death rate incidence chronic disease increased 178 former years exceptionally high incidence cancer became obvious minister nespola health named specialist oncology hospital general abila,2002-05-26
110,110,homeland illumination voices blog important people maha salo 21 january 2014 1153 breaking news readers correspondent petrus gerhard writing unknown location contacted short time ago members protectors kronos social action movement convey important message people kronos pok forced go great lengths order communicate without hindrance government representative contacted asked carry message protect safety picked public location blindfolded drove location even recognize readers next post read one important ever read indeed ever read 21 jan 2014,2014-01-21
111,111,world drilling technique banned tethys 30 march 1995 centrum tethys gastech internationals hyper acidic substrate removal hasr officially banned tethys government due high probability water contamination gastech developed innovative drilling technique 1974 proved quite successful extraction gas techniques environmental impact deemed unacceptable tethys government due high probability water table contamination waste products produced hasr process sten sanjorge jr responded ban saying tethys loss another countrys gain,1995-03-30
112,112,truth gasvelden bending tiskele larger first idea 19960315 abila kronos press communication ministry inland country kondigde today gasvelden bending tiskele could way much 5 time larger initially valued said office sarto minister comment contacted astonished results recent research gastech van kromming tiskele mean giant people kronos undertaken large improvement projects already different port extension new hospital could taxes foreign investments see news insures almost dividends decades might harvest come obvious plan president araullos tempt stipulating foreign investment moment history one hopes way shortsighted resist plan definitively meanings come say proud say thanks president,1996-03-15
113,113,central bulletin elodis protests turn riots arrests 20050925 elodis kronos protectors kronos pok continue protest kronos government gastech international alleging pollution water contamination lack government response lately protests turned violent escalating rioting largely directed tiskele bend site recent rioting government officials choice round protesters arrest trespassing government spokesman rufus drymiau commented sort violent actions members protectors kronos counterproductive working closely government gastech ensure environmental issues resolved several instances rioting around elodis reported including trashing government buildings rock throwing tire burnings,2005-09-25
114,114,worldwise strikes government treat international gastech 19930314 abila kronos president araullo today announced signature agreement government gastech tethysbased international development gas layers curve tiskele gastech control jr visionary sten sanjorge allotted exclusive lines drill inside fields stateowned property agreed request government 50 labor citizens kronosian president araullo hailed limiting business terminal like beginning new era large country one era occasion fortune sources ministry interior indicate us tax 50 taken new gas oil exploration could pay 1 billion revenue taxes per annum make possible government transform investments without precedent infrastructure health education,1993-03-14
115,115,daily pegasus leaf 2002 fact public health elodis 20020527 elodis kronos center health community elodis published update health study made 1998 effects hyperactive acid retirement substratum hasr technique perforates controversy continue ravage health residents elodis report detailed soon fixed municipal web site elodis touch light index mortality incidence chronic disease increased 178 previous years unusually high incidence cancer got evident minister nespola health designated specialist oncologνa general hospital abila,2002-05-27
116,116,wrap pok remind leader martyred 20120621 abila kronos leaders moving ceramics wednesday activist group guards kronos homage paid cases leader elian karel 19 june 2009 whereas resistance worker held prison kronos assassination collect us today remind elian karel silvia marek told rap assembly much supported white candles honor karel elian agriculture company elodis born 40 minutes jeroen antaura karel grew phantom dead around time elian 17 much family members friends constant sickness vochten including neighbor 10 years old juliana vann marek paused moment permit shouts juliana remind disappear slowly elian devoted life people elodis well citizens kronos father elian knew difficult travel would father jeroen founder pok pace henk bodrogi actual gone paid attention would enter elian know cursus easy would little time personal living would leave nevertheless preferred taking measures spite challenges eyes see blamed travel three years concluded elian suffered today dream died vision healthy must honor thriving future today course afternoon different participants paid homage elian everyone victims milieucatastrofe become cupidity corruption public civil servants brought collecting brought war worsening presence police force abila babbling couples police force acted much mob causing assembly must left rather batons pepernevel stormed,2012-06-21
117,117,news online today charity funds exhausted 19991115 soon ran medicines funds support aid teams return home global press reported 2500 people killed 100000 buildings destroyed local press reported people felt properly cared declined relief aid global emergency disaster organization report members get aid earthquake victims need huge injections funds jim cordon disaster relief charity foodsupport told times think lack funds responsible increase attacks food convoys consequently deterring lot aid agencies getting,1999-11-15
118,118,centrum sentinel voices blog approximately important people 20 january 2014 2232 relationships civil employees airport confirmed arrival classified jet tethys several passengers left attending limousine reporter followed limousine guided directly centers police abila 20 gen 2014,2014-01-20
119,119,tulip sanjorge jr internationally public gastech take 20130903 center tethys 52 years private sten sanjorge jr take aardgasexploratie production international public bedrijfgastech eye even world player gasindustrie sanjorge still jr public company capital international extension produce exploration company 1961 sten aforesaid sanjorge sr set monday plant stock could place value buurt 375 billion offers ipo expected end year,2013-09-03
120,120,news online today gastech shifts focus kronos 19960708 centrum tethys gastech international shifted focus tethys small mediterranean island kronos vast gas deposits beneath ground,1996-07-08
121,121,news today pok protests end arrests 20050406 elodis kronos fifteen members protectors kronos pok activist organization arrested kronos federal police yesterday following dispute gates tiskele bend gastech facility swaying protesters sang wellknown protest songs including land songs farmer weavers homeland federal police began arresting pok protesters moved orderly fashion waiting police van singing entire time,2005-04-06
122,122,tethys news break emergency gastech quarters construction modernizations 20 january 2014 modernization 1225 pm relationships confirmed pictures gastech still arrived reception previewed capitol reporter regard reception relationship capitol sees president gastech ceo jr sten sanjorge seen ingrid barranca livecurrent ada strum di orhan willem vascopais,2014-01-20
123,123,central bulletin government labels pok public threat 20110728 abila kronos kronos government labeled protectors kronos pok threat public statement government spokesman rufus drymiau pok described justifiably public threat due violent demonstrations opportunistic vandalism clashes police shop owner siopa district declined named responded government labeling pok public threat agree public threat every time come around bring signs smash windows officer emilio haber patrols siopa district said pok smash windows make look stupid arrest put jail belong,2011-07-28
124,124,news online today abila hospitals seeing influx designer drug users 20130208 emergency department abila general hospital kronos swamped last month people suffering medical complications designer drugs cotton candy synthetic marijuana hospital official said citywide several deaths attributed cotton candy according kronos national poison center designer drugs chemical compounds synthesized resemble active ingredient often illegal drugs cotton candy mimics drug khat stimulant manufacturers frequently change designer drugs chemical composition name stay one step ahead authorities biance said term cotton candy example nickname drug nothing carnival treat kronos government placed three chemicals commonly used creation cotton candy controlled substance list criminalizing use possession still government outright ban cotton candy manufacturers alter recipe skirt law bianca said said gram cotton candy costs k18 gram cocaine costs k166 crashs illeffects often prompt people binge cotton candy point consume drug days asterian peoples army traditionally involved drug trafficking throughout region enforcement agencies closely examining possible cooperation drug trafficking organizations political insurgent groups,2013-02-08
125,125,central bulletin gastech employee interrogated released 20140120 abila kronos roughly 6 hours gastech kronos employee edvard vann interrogated kronos police government officials released 1700 evening apparent confusion stems similarity name protector kronos member vann security guard gastech furious stating nothing whatsoever members terrorist group pok born abila support government president accused interrogated 6 hours terrorist pok member one worst days life 14 gastech employees still unaccounted one blame police government leaving stone unturned,2014-01-20
126,126,world journal protests kronos burst violence 20131113 journalist shawn pastorini says lack respect fills fuel protests continue read principal history demonstrators abilia kronos put fire buildings government another round faintness torn city dozen people wounded corruption government perceived surplus protests incapacity perceived politicians improve situation maintain order rubber balls teargas used alleviate malayan capital abila black smoke could come seen compound presidency abila continue read principal history guards spokesman kronos indicated kronos environmental legacies negligence lack concern means people equal hope change reason anger fermented years boiled surplus maintain order water used disperse protesters threw stones building also reportsratios give attack tested office populate protest suffer medical aid require government resign terek kamal driver truck said times faintness started abila earlier week protests reference several employees kronosian international giant gastech energy gastech roots tethys although many directors live kronos seems case ferment destruction boiling administration strongly support gastech income taxes trunks government however seems unaware questions pressure packages withtopmeans wages environmental situation desperate hundreds rural citizens suffer principal diseases apparently caused exposure jets reject gastech although justified civil servant recognize company government ιtincelι initial protests abila empathy cause brought demonstrators outside cities kronos beginning peaceful protest violent one organizes citizens caught formerly mortal interference current president dorel kapelou ii kronos quoted saying bus would convene pressing meeting higher control address threat terrorist peace country,2013-11-13
127,127,explainer satisfy system tomorrow morning 20140119 abila kronos meeting fix tomorrow 8 recent initial public offer ceo sten sanjorge jr reporters city descendant headquarters gastech kronos droves pile questions post abila send haneson ngohebo ignited writer blog scene blog alive event hopes obtain sanjorge jr group direction gastech kronos comment respect ipo recent falls wind plans gastech kronos,2014-01-19
128,128,homeland illumination celebration unfettered kleptocracy petrus gerhard 19 january 2014 abila kronos following annual gastechkronos corporate meeting gastech executives several highranking kronos government officials attend soiree kronos capital building celebrate unfettered kleptocracy kept kronos public officials mansions luxury vehicles homeland illumination look forward hearing president kapelou ii ceo sten sanjorge jr say unholy alliance benefited citizens kronos,2014-01-19
129,129,international news activists disrupt traffic near tiskele bend fields 20010831 abila kronos five young people arrested yesterday protesting near entrance tiskele bend fields called government action address environmental concerns gastechs operations site protestors members activist group protectors kronos held signs reading drilling poisoned water remember juliana referring 10 year old juliana vann become icon protectors kronos since death 1998 protestors arrested one young man threw sign government vehicle cracking window startling occupants police spokesman adrien carman said arrests decided shut protest pok members escalated violence people kronos overwhelmingly development natural resources benefited resultant economic growth,2001-08-31
130,130,kronos star annual pok rally ends riot marcella trapani 20 june 2013 abila kronos pok members held annual demonstration abila yesterday larger usual crowd gathered front capitol building waving signs holding pictures elian karel juliana vann painted pok martyrs crowds chanted government corruption called president dorel kapelou step several protestors carried signs calling end exploitive tethys corporate capitalism alleging gastech poisoned kids police government security forces set protestors capitol building show force hoping prevent kind chaos occurred last years riot however several hours chanting speeches tempers crowd flared protestors rushed police line police forces forced use tear gas pepper spray water cannons rubber bullets subdue crowd protect property spite heroic efforts protestors managed break windows damage several police vehicles injure three officers,2013-06-20
131,131,general post gdp kronos ascent 20000117 avila kronos true gross internal product exit merchandize services produced work characteristic located kronos increasing annual index 54 fourth trimester 1999 according estimation anticipated sent office economy mark 5to year row positive growth gdp developing country growth contributed relation government kronos international gastech,2000-01-17
132,132,world source abila police break sitin turned violent presidential manor 20120620 traffic snarled around city abilians struggle get work amid vandalism looting early tuesday police stormed front presidential mansion capital building breaking sit protectors kronos conservative kronos government used emergency law threaten protestors arrest unless dispersed returned work row environmental issues pok holds government gas giant gastech international responsible signs among protester called government change social equality images juliana vann 10 year old girl dies illnesses attributed industrial giant gastech international served rallying points tuesday third anniversary mysterious death elian karel popular leader pok died prison later day largely peaceful demonstration turned violent crowd started vandalizing government buildings presidential homestead police reinforcements sent area blocked roads skirmishes police protestors broke police used tear gas break unruly crowd government spokesmen complemented security forces handling gangs criminals disrupting peace,2012-06-20
133,133,modern rubicon scene blog 20 january 2014 modernization 1255 calls hospitals abila morgue city covered new information nets,2014-01-20
134,134,homeland illumination tax measure defeated pok efforts stalled maha salo 22 march 2001 abila kronos measure increase taxes foreign oil gas development proposed minister health cesare nespola defeated wide margin last week general assembly defeat harsh blow protectors kronos elodis group counting funding provide healthcare environment cleanup drinking irrigation water meeting planned minister protectors kronos leader henk bodrogi told homeland illumination dont count us yet plan improve measure minister nespola reintroduce later year bodrogi leader protectors kronos grassroots environmental group mission reverse pollution caused gas drilling hometown,2001-03-22
135,135,news today rally scheduled support increased government accountability 20120409 abila kronos silvia marek leader protectors kronos social action organization appealing citizens kronos join day peaceful protest tomorrow marek asks concerned citizens join bring awareness problem political corruption favoritism pervasive offices government kronos im calling end heinous corruption nepotism favoritism displayed elected officials,2012-04-09
136,136,central bulletin possible contamination elodis 19970423 elodis kronos 25 km west abila small rural township elodis situated tiskele river roughly 20 km upstream tiskele bend site operated gastech international governmentowned land townspeople claim site contaminating land water making people sick statement government kronos denied tiskele bend site source contamination insisting natural gas drilling process clean statement continued people sick help get well duty government protect people,1997-04-23
137,137,news prominent business civic leader dies 65 19940218 centrum tethys four years diminishing health following major heart attack sten sanjorge sr sanjorge sr 65 centrum tethys president emeritus gastech international founded company 1961 addition role gastech international chairman centrum chamber board directors member centrum childrens hospital board trustees sten always champion children tethys said hospital president willem gracias sten truly missed ask everyone keep sanjorge family thoughts prayers survived wife ingrid sanjorge son sten sanjorge jr great light world extinguished yet still casts shadow said sanjorge jr,1994-02-18
138,138,athena speaks disappeared confirmed control gastech haneson ngohebo 20140120 abila kronos miriam avila administrative assistant international gastech confirmed members control gastech fact miss one expected arrives reception government following meeting morning registered offices gastech kronos never revealed group mrs avila denied employee gastech removed also denied simply jumped city richness recently discovered world brought back december 16 2013 public call saving initial recent international gastech ipo produced net sten st george jr 196 eyejumping billion part control international company drilling exploration gas gastech control kronos also liberally rewarded classifications ipo prove executive group gained 32725 collective million lately invested shares includingunderstanding 9625 million cfo ingrid barranco campocorrente ada cio roucoulement orhan pianotent environmental adviser safety willem vascofeed also gained 385 million although mr st george jr office centrum maintains capital tethys majority international operations gastech take place kronos includingunderstanding production approximately 5 million cubic meters gas daily newspaper mrs avila works registered offices centrum gastech,2014-01-20
139,139,abila post scene blog haneson ngohebo 20 january 2014 1947 update abila police news conference approximately fourteen individuals unaccounted among gastech staff yet determined individuals fact missing though confirmed dozen individuals unaccounted abila police said mean necessarily missing mean abducted point case investigation information released facts learned abila police stressed anyone seeing unusual activity immediately report,2014-01-20
140,140,athena speaks wrap top events gastech 20140120 abila kronos long tended day contradictory reportsratios muddling information finished know certain 14 employees gastech miss removed confirmed source government kronos currently clear disappeared citizens kronos de tethys many employees gastech tethan motionless speculation concerning taken kidnapping president de gastech jr sten st george president target since international gastech still submit reportratio speculation pressure reasons kidnappers due unrestrained recent news public call saving initial gastech one month ago currently nobody claimed responsibility kidnapping edvard vann gastech guard safety kronos questioned released 6 gave indication guards kronos implied least suspectιs criminals behind events today international director elder safety gastech building site support research helping department police force abila civils servant government kronos january 20 meeting annual company gastech reception government kronos followed little time morning meeting closed 1000 trucks department fire abila answered reportsratios fire office gastech,2014-01-20
141,141,athena speaks registered offices gastech blocked pok 20090221 abila kronos gathering pok conceived give attention complaints environmental damage made damage image gathering apart international registered offices gastech like consequence multiple arrests infringement approximately two hundred people met front signs slogans undulate song building gastech held faces people died allegedly contamination environment tens protestateurs connected doors building order try prevent employees gastech going work maintain order carman adrien spokesman said us allowed group certain latitude gathering gastech complained protestateurs blocked entry building act last thing wanted produce us employee gastech obtains evil crowd right tried go work civils servant government expressed concerns model increasingly aggressive tactic guards kronos response increased aggression pok additional safety provided ensure public safety future gatherings civils servant gastech refused currently comment indicating official reportratio published incident,2009-02-21
142,142,centrum sentinel voices blog approximately important people 21 january 2014 0715 welcome continuous filling passing several employs gastech known police announced fourteen employ gastech disappeared moment yesterday morning civil employees tethys corporative civil employees probable gastech arrived late past night classified jet gone directly centers police abila fire fire signaler yesterday played morning centers gastechkronos approximately 1015 fire identified neither bomb since taken means marked information exactly lacks news conference previewed soon 21 gen 2014,2014-01-21
143,143,worldwise left equipment improve 19930921 abila kronos minister interior department sarto today announced sponsored business government company development energy tethys gastech international improve port abila gastech agreed contribute 200 million towards cost left levellings exchange preferential site gas terminal new port drew aside couple fees 100 years sarto minister declared business left expansion first many rewards collected kronos since opened large country foreign investment march government allotted gastech exclusive lines fields stateowned property curve tiskele largest little developed gas layer europe representatives company gastech tethys stated left business gaingain two us kronos principal carry full capacity fields curve tiskele,1993-09-21
144,144,homeland illumination voices blog important people maha salo 20 january 2014 1251 police arrived went immediately gastech headquarters time policemen site reconstructing yellow tape perimeter still word location gastech officials government employees left buildings 20 jan 2014,2014-01-20
145,145,guide pok kidnaps employees gastech 20140120 abila kronos protectors kronos pok suspect kidnap fourteen employees gastech construction headquarters previous today police abila quickly assured remaining building entrevistσ used gastech asked employee edvard vann de abila hours shares name family several members known pok vann denied implication pok demanded knowledge kidnapping pok made declaration respect kidnapping sent civil employees gastech department interior center tethys help clean handle incident application representatives federal law tethyn ministry tethyn outer subjects flew kronos escorted headquarters police abila,2014-01-20
146,146,news desk gastech hoofdkwartier pok blocked 20090221 abila kronos collection pok devised caused bring attention requirements environment damage damage picture collection outside international hoofdkwartier gastech resulted multiple arrests violating approximately two hundred people collected gastech construction chanting slogans undulating signs loved visages people according reports environment pollution died ten protestors chained doors bldg attempt employees prevent gastech work spokesman adrien aforesaid carman police force permitted group one breadth collection gastech complained protestors entrance construction blocked demonstrate last thing wanted happen become hurt employee gastech mob tried work civil servants government care pattern aggressive tactic guards kronos expressed reply raised aggression pok extra security supplied insure public security future collections civil servants gastech decreased comment moment indicating official declaration incident spent,2009-02-21
147,147,everyday news gastech 20130224 biggest company kronos third bigger company gas planet years fiftythree past corrupt reputation like environmentally harmful nowadays gastech previous business tethysonly trying gain confidence international investors form part ambitions extend gas provides beneficial business outside mediterranean region ascending task certainty gastech capacity convince potential investors repaired ways rooted past echohostile operations pipe gastech based kronos east near relation government kronosian one heart business pipe kronos gas gas fields east settles tubes west towards rest kronos tethys europe gastech soon gas pump created cities cities maintain operations handles works almost singlegiving head gastech sten sanjorge jr photo watches fixedly towards outside calendars marks throughout country recognizes state inside accusations state discusses necessities company simply take care workers communities around means populate good reasons necessity come work hostile remote regions kronosian provide medical aid hospitality food empire gastech 2 thousand cows 3 thousand pigs farms company works gyms offers subsidized holidays resources black sea dominant employees executives works state extreme extra medical center marblealigned therapy addition allowances also station gastech tv even pretend impartial serving company looks like soon picture modern global company unloaded little ceremonious activities notheart discussion nevertheless business energy different industries requiring corporations energy work different ways working remote places without previous means infrastructure lubricate sites gas always certain point cities company gastech makes certainly effort assure employees move inside outside locations working deprived fleet four planes ferry across personnel enormous distances sites,2013-02-24
148,148,orb celebration released kleptocracy 20140119 abila kronos follow annual executives gastech meeting company gastechkronos several civils servant government high row kronos deal one evening capital building kronos celebrate released kleptocracy maintained civils servant public kronos manors vehicles luxury waiting hearing president kapelou jr sten sanjorge ii president must say way profane alliance profited citizens kronos,2014-01-19
149,149,world journal profile elian karel 20090623 deleted image elian karel speaking gathering abila voice protest demagog popularist others guards chief elian karel de kronos became gathering martyrdom point figure scorn rabblerousing others political concern government kronosian one year filled event accentuated suspicious death friday chief environmental group forbearant activist karel begun mark policy clean propelled pok projector nation island filled fuel dissatisfaction growing regard awkward government kronosian started lead pok organization actionbased instead one awaiting government make aright things ressuscitant embers juliana vann make countryside 10 year old girl died diseases allotted industrial jets reject governmentfavoured company gastech 1998 karel stopped thrown prison according human stopping road poklaunched front registered offices gastech may karel died wednesday serving time prison government kronos refuses comment circumstances death rather charismatic karel could inspire crowd draw attention social political agenda pok could also tickle funny bone assistances jr sten sanjorge president de gastech compared pok group terrorist interview pressure karel scoffed sanjorge brilliant chief gastech know takes scale supermarket heard prices foodstuffs abila really high however capacity engage finally government makes violence kronos never clear also clear take coat pok went,2009-06-23
150,150,international times gastech 22 february 2013 biggest company kronos third largest gas company planet fiftythree years old past reputation corrupt environmentally harmful nowadays gastech former tethysonly business trying earn trust international investors forms part ambitions expand profitable business supplying gas outside mediterranean region uphill task certainty gastech ability convince potential investors mended ways longer rooted ecohostile past gastechs pipeline operations based eastern kronos close relationship kronosian government heart kronoss pipeline business gas eastern gas fields piped west towards rest kronos tethys europe gastech pump gas created towns cities service operations manages runs almost singlehanded head gastech sten sanjorge jr whose photo stares calendars picture frames everywhere country acknowledges state within state accusations argues company simply needs look workers communities around course people need good reasons come work hostile remote kronosian regions provided medical care entertainment food gastech empire owns 2 thousand cows 3 thousand pigs company farms runs gyms offers subsidised holidays black sea resorts key employees executives runs state art marblelined medical therapy centre addition perks also gastech tv station doesnt even pretend unbiased serve companys hardly seems picture modern global company unceremoniously dumped noncore activities argument however energy business different industries requiring energy corporations operate distinct ways working faroff places previous infrastructure means oil gas sites always extent company towns gastech certainly strives ensure employees move locations operating private fleet four planes ferry staff huge distances sites,2013-02-22
151,151,central bulletin government cites minor contamination near elodis 19971016 abila kronos continued complaints appeals people elodis government officials acknowledge minor contamination around rural township report investigation townspeoples health issues however government report stops short blaming gastech international tiskele bend site 20 km upstream people elodis assert government report cites root cause causes determined time research investigations needed though report admits contamination goes qualify level stating minor level contamination well within international health standards agreed upon government kronos gastech international negotiated tiskele bend site contract,1997-10-16
152,152,news today lack details mars government intentions 19930202 abila kronos glitzy press conference late last year president luis araullo announced historic set tax incentives intended bring foreign investment kronos guise creating jobs providing cheap energy building infrastructure following 8614 vote last month minister interior tomas sarto lauded decision landmark bettering people crafters revolutionary measures neglected include detailed plan windfall would benefit everyday kronosians first payment foreign company lands state coffers funds dispersed,1993-02-02
153,153,news drilling technique banned tethys 19950330 centrum tethys gastech internationals hyper acidic substrate removal hasr officially banned tethys government due high probability water contamination gastech developed innovative drilling technique 1974 proved quite successful extraction gas techniques environmental impact deemed unacceptable tethys government due high probability water table contamination waste products produced hasr process,1995-03-30
154,154,news today elodis kronos town need part one petrus gerhard 19980320 note article first series reprinted permission homeland illumination article first installment threepart series addressing growing problem one communitys anguish government malfeasance alarming influence multinational corporations country kronos elodis kronos nestled bend tiskele river sun rises farming town elodis chasing away shadows cloaking nearby mt today every day 250 years residents rise tend rich floodplain land provides nourishment people kronos two weeks prior received email old friend pondo reese editor elodis weekly journal agriculture paper serving community around tiskele bend gas company built years back 94 problems didnt start right away change turned gastech international international corporation run sten sanjorge jr business tycoon tethys established 1961 gastech corporation began familyowned business providing local trucking services tethys two founders sten sanjorge sr hank fluss found wildcat drilling lucrative thus began series environmental disasters financial scandals eventually ran sanjorge sr early grave drove fluss marginal role company death sanjorge sr son took helm gastech firmly grasp broadened influence afield eventually landing doorstep small peaceful township elodis population 6500 residents elodis live one twostory houses small farms smaller number families live township along main street two markets two hardware stores one gas station cafe buy lunch pick mail purchase litre milk bring home families lived elodis generations weve made good living long time reese tells asked reese help meet people whose lives impacted gastechs operations caught henk bodrogi town making purchases osvaldo hardware store repair broken tractor bodrogi farmed soybeans entire life father fathers,1998-03-20
155,155,news online today profile elian karel 20090622 deleted image elian karel speaking rally abila voice protest popularist demagogue others protectors kronos leader elian karel became martyr rallying point resurrecting embers juliana vann campaign 10 year old girl died illnesses attributed governmentfavored gastech corporations industrial waste streams 1998 karel arrested thrown jail following pokinitiated human roadblock front gastech headquarters may karel died wednesday serving time jail,2009-06-22
156,156,truth question pok kapelou troop criminals 20120623 abila kronos press communication today called president kapelou today pok troop criminals criminals malcontents pestilence peaceful manner living become comments president kapelous come demonstration pok converted babble large scale government sector capital tuesday president kapelou requested raised police force patrols area elodis said future demonstrations pok maximumpolitiekracht met,2012-06-23
157,157,daily pegasus arrested leader karel pok 20090313 abila kronos another unconscionable movement citizens kronos previous police today arrested leader elian karel pok false loads fiscal evasion lead manacled meeting protectors kronos elodis rural municipality outer abila demonstrating humor registered tradename karel raised wrists joked favor lead far “ conjecture must sent president water boxes bottle birthday ” karel leader protectors kronos alliance citizens kronos de elodis demanded ascending clean government contaminated water caused gas perforated community “ request gastech come community ” ray karel meeting months ago “ request water make undrinkable children get ill neither elodis people kronos received advantage great extraordinary amount money gastech clears every year request money goes ” favor assured representative police formed outside police station police karel would treated humanly declined answer questions allow visitors see karel “ solved man ” lawyer karel michale kraft said telephone “ fight false loads towards outside days probably complain food jail following meeting pok ” kraft glides solve morning karel saturday calls president minister offices justice returned immediately,2009-03-13
158,158,wrap memory death elian karel later year 20100621 abila kronos one year suffered young people died today search rosier future compatriots cold cement prison attended apathetic guards charged holding awaiting research tax fraud place ever early morning hours 19 june elian karel wounds inexplicable official cause death died report coroner city abila july 2010 released schreef death karel sudden hartstilstand research closed soon afterwards nameless sources near research however issued witness declaration shown signs karel body bone strength traumatism schuring cracks prevented within hours dead police force denied uncommon matter death happened karel town civil servants require charges assassination unlawful dead pok rabblerousers trying instability recall violence claimed year since death karel guards kronos continued task require government kronos conducts policy transparency government matter foreign companies responsible keep polluted natural wealth kronosian verdedigers continue group public places stipulated shouts justice heard mixed chants remind juliana one hear also shouts elian remind,2010-06-21
